materia,profesor,division,turno,dia1,horaInicio1,duracion1,dia2,horaInicio2,duracion2,activo,ac,sede
95-0001,opugliese,R1004,TARDE,JUEVES,0,5,,,,true,A,Campus
95-0497,mseoane,R6575,NOCHE,JUEVES,1,5,,,,false,C,Medrano
95-0438,mseoane,R5051,NOCHE,VIERNES,1,5,,,,true,A,Medrano
95-0482,hgiannetta,R6055,NOCHE,LUNES,1,5,,,,false,C,Medrano
95-0415,lfuentes,R6051,NOCHE,MIERCOLES,1,4,,,,true,C,Medrano
95-0458,jcecconi,R5053,NOCHE,MARTES,1,5,,,,true,A,Medrano
95-1601,rlozano,R1053,NOCHE,VIERNES,0,3,VIERNES,0,3,true,A,Medrano
95-1601,rlozano,R1002,MANANA,LUNES,1,3,,,,true,A,Medrano
95-0486,rlozano,R6051,TARDE,VIERNES,1,4,,,,true,C,Medrano
95-1601,rlozano,R1001,MANANA,VIERNES,3,3,,,,true,A,Medrano
95-1601,rlozano,R1052,NOCHE,MIERCOLES,1,3,,,,true,A,Medrano
95-0452,mgonzalez,R1025,MANANA,MIERCOLES,1,5,,,,true,A,Campus
95-0449,hgaronis,R6051,NOCHE,MARTES,1,4,,,,true,C,Medrano
95-0405,abreitman,R6051,NOCHE,MARTES,1,4,,,,true,C,Medrano
95-0488,pfolino,R6051,NOCHE,JUEVES,1,4,,,,true,C,Medrano
95-0433,rfrisina,R4051,NOCHE,JUEVES,2,4,,,,false,A,Medrano
95-0418,rfrisina,R6055,NOCHE,MIERCOLES,1,5,,,,false,C,Medrano
95-0462,fernandojlage,R6575,TARDE,VIERNES,1,5,,,,false,C,Medrano
95-0456,fandres,R3002,MANANA,SABADO,1,4,,,,true,A,Medrano
95-0456,fandres,R3051,NOCHE,VIERNES,1,4,,,,true,A,Campus
95-0483,ajordaney,R6055,NOCHE,JUEVES,1,5,,,,false,C,Medrano
95-0483,ajordaney,R6575,NOCHE,LUNES,1,5,,,,false,C,Medrano
95-0473,luciomg,R6051,NOCHE,MARTES,1,5,,,,false,C,Medrano
95-0402,luciomg,R6575,NOCHE,JUEVES,1,5,,,,false,C,Medrano
95-0455,jcollazo,R3053,NOCHE,VIERNES,1,4,,,,true,A,Medrano
95-0432,jmatricali,R4052,NOCHE,JUEVES,1,4,,,,true,A,Medrano
95-0449,drusso,R6052,NOCHE,JUEVES,1,4,,,,true,C,Medrano
95-0426,dsanguin,R3051,NOCHE,MARTES,1,5,JUEVES,1,5,true,C,Campus
